syn_id,pre_id,post_id,prop
479,199,174,1.0
480,199,84,1.0
481,185,181,1.0
482,197,145,1.0
483,196,145,1.0
484,159,164,1.0
485,241,82,0.028397565922920892
485,241,159,0.9716024340770791
486,241,142,1.0
487,242,142,1.0
488,142,175,0.03091684434968017
488,142,241,0.9690831556503199
490,142,175,0.47052280311457173
490,142,187,0.030033370411568408
490,142,241,0.4994438264738598
491,242,84,0.9848484848484849
491,242,159,0.015151515151515152
492,242,130,0.11042944785276074
492,242,131,0.04294478527607362
492,242,186,0.8466257668711656
493,227,139,0.14178302900107412
493,227,164,0.4092373791621912
493,227,175,0.06337271750805586
493,227,187,0.38560687432867885
494,228,130,0.5488215488215489
494,228,164,0.42312008978675647
494,228,173,0.028058361391694726
495,142,172,0.5393145161290323
495,142,175,0.46068548387096775
498,187,175,0.8306451612903226
498,187,201,0.1693548387096774
500,199,84,1.0
501,180,126,0.9634340222575517
501,180,184,0.03656597774244833
503,197,145,0.9087221095334685
503,197,189,0.09127789046653144
504,196,145,0.8882113821138211
504,196,213,0.11178861788617886
506,151,241,1.0
507,241,142,1.0
508,142,241,1.0
510,241,127,0.07387580299785867
510,241,165,0.9261241970021413
513,228,130,0.2247191011235955
513,228,131,0.3534218590398366
513,228,164,0.4218590398365679
514,227,134,0.16683417085427135
514,227,135,0.41708542713567837
514,227,137,0.0964824120603015
514,227,139,0.05829145728643216
514,227,164,0.2613065326633166
515,199,186,1.0
517,201,82,0.6162551440329218
517,201,187,0.3837448559670782
518,180,126,1.0
519,201,82,0.5325325325325325
519,201,147,0.35235235235235235
519,201,163,0.11511511511511512
521,197,145,0.893
521,197,217,0.107
522,196,145,1.0
527,159,164,1.0
530,151,241,1.0
531,159,146,0.5863874345549738
531,159,242,0.41361256544502617
532,242,142,0.798
532,242,186,0.202
533,142,172,0.6002004008016032
533,142,175,0.3997995991983968
534,143,173,0.23223223223223224
534,143,174,0.7677677677677678
535,242,186,1.0
536,159,84,0.06835722160970231
536,159,186,0.7640573318632855
536,159,242,0.16758544652701213
537,241,142,0.07015706806282722
537,241,187,0.9298429319371728
539,186,131,0.9816138917262512
539,186,242,0.018386108273748723
540,227,139,0.3271939328277356
540,227,164,0.6327193932827736
540,227,187,0.04008667388949079
541,173,133,0.07747933884297521
541,173,174,0.9225206611570248
542,181,134,0.5127681307456589
542,181,154,0.027579162410623085
542,181,175,0.45965270684371806
543,187,82,0.017346938775510204
543,187,201,0.9826530612244898
545,181,154,0.9837486457204767
545,181,185,0.016251354279523293
546,185,154,0.9773049645390071
546,185,181,0.02269503546099291
547,180,126,1.0
550,197,145,0.9709418837675351
550,197,189,0.02905811623246493
554,145,154,0.3293051359516616
554,145,217,0.6706948640483383
555,196,145,0.8716148445336008
555,196,213,0.1283851554663992
556,151,241,0.9538615847542627
556,151,244,0.04613841524573721
557,151,146,0.3649393605292172
557,151,241,0.6141124586549063
557,151,244,0.020948180815876516
558,241,142,1.0
559,142,241,0.7842741935483871
559,142,244,0.2157258064516129
560,241,142,0.9623430962343096
560,241,143,0.03765690376569038
562,241,142,1.0
563,142,241,1.0
564,242,143,1.0
565,241,142,0.6753812636165577
565,241,143,0.32461873638344224
566,143,173,0.3566137566137566
566,143,174,0.6433862433862434
567,143,174,1.0
568,173,127,0.41536614645858344
568,173,133,0.5846338535414166
573,159,82,0.18756268806419257
573,159,147,0.25376128385155466
573,159,163,0.2938816449348044
573,159,187,0.26479438314944836
574,199,84,1.0
575,181,134,0.13897280966767372
575,181,136,0.7734138972809668
575,181,185,0.08761329305135952
576,181,136,0.7628979143798024
576,181,175,0.15477497255762898
576,181,185,0.08232711306256861
577,180,126,0.390992835209826
577,180,174,0.609007164790174
578,180,169,0.5442739079102715
578,180,184,0.3447461629279811
578,180,192,0.11097992916174734
581,197,145,1.0
582,145,99,0.15038560411311053
582,145,110,0.7917737789203085
582,145,154,0.05784061696658098
583,145,217,0.2576374745417515
583,145,220,0.7423625254582484
590,143,142,0.039354187689202826
590,143,173,0.28456104944500504
590,143,174,0.6760847628657921
591,142,172,0.9114688128772636
591,142,175,0.08853118712273642
592,242,159,0.49093264248704666
592,242,186,0.5090673575129534
593,227,139,0.028199566160520606
593,227,172,0.6388286334056399
593,227,175,0.3329718004338395
594,173,127,0.19978517722878625
594,173,133,0.3952738990332975
594,173,174,0.40494092373791624
595,172,134,0.303347280334728
595,172,135,0.08891213389121339
595,172,175,0.6077405857740585
597,186,84,1.0
598,187,82,0.4426229508196721
598,187,175,0.44774590163934425
598,187,201,0.1096311475409836
600,181,134,0.671251719394773
600,181,136,0.08803301237964237
600,181,154,0.2077028885832187
600,181,185,0.033012379642365884
601,181,134,0.5570469798657718
601,181,136,0.4429530201342282
603,180,162,1.0
604,180,169,0.4534412955465587
604,180,184,0.02834008097165992
604,180,192,0.5182186234817814
605,197,163,0.034482758620689655
605,197,217,0.9655172413793104
607,196,145,0.016842105263157894
607,196,205,0.021052631578947368
607,196,206,0.9621052631578947
609,241,142,1.0
610,142,241,0.06983805668016195
610,142,244,0.930161943319838
611,242,142,1.0
612,142,143,0.5977482088024565
612,142,241,0.4022517911975435
614,186,131,0.11967779056386652
614,186,173,0.48791714614499426
614,186,174,0.20828538550057538
614,186,228,0.18411967779056387
615,143,186,0.618848167539267
615,143,242,0.381151832460733
617,228,127,0.4110429447852761
617,228,130,0.07157464212678936
617,228,131,0.15644171779141106
617,228,164,0.3609406952965235
620,180,126,0.6155555555555555
620,180,173,0.051111111111111114
620,180,174,0.3333333333333333
622,173,126,0.24688796680497926
622,173,133,0.7531120331950207
624,145,99,0.8906926406926406
624,145,110,0.046536796536796536
624,145,154,0.032467532467532464
624,145,209,0.030303030303030304
625,196,153,0.1961577350859454
625,196,205,0.8038422649140546
626,145,217,0.2863157894736842
626,145,220,0.7136842105263158
629,241,244,1.0
631,241,142,1.0
632,241,142,1.0
633,241,142,1.0
634,241,142,1.0
635,242,142,0.7766599597585513
635,242,143,0.22334004024144868
636,242,142,0.399197592778335
636,242,143,0.600802407221665
